"product__image-container href","product__image src","visuallyhidden 2","visuallyhidden 4","visually href","product__link","product__price__value","preco-avista 2","preco-avista 4","visuallyhidden 5","bt__icon href","bt__text","product"
"https://www.polibox.com.br/aromatizantes-interiores/areon-smile-funny-vanilla","https://images.tcdn.com.br/img/img_prod/1152560/180_areon_smile_funny_vanilla_1_20251216181838_1f8e8439687f.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Areon Smile Funny Vanilla","23,90","22","71","Quantidade","[object Object]","Comprar","g.actions['product-1832118475'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-1832118475 .product__buy',
							data: {
								variants: [],
								product_id: 6754,
								product_random_id: 1832118475,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/escovas/escova-para-limpeza-de-cintos-de-seguranca-kers","https://images.tcdn.com.br/img/img_prod/1152560/180_escova_para_limpeza_de_cintos_de_segurana_kers_1_20251211150534_6b4d9121d737.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Escova para Limpeza de Cintos de Segurança Kers","25,90","24","61","Quantidade","[object Object]","Comprar","g.actions['product-1669987998'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-1669987998 .product__buy',
							data: {
								variants: [],
								product_id: 6744,
								product_random_id: 1669987998,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/escovas-e-pinceis-kits/kit-com-2-pinceis-de-detalhamento-no-14-vonixx","https://images.tcdn.com.br/img/img_prod/1152560/180_kit_com_2_pincis_de_detalhamento_n_14_vonixx_1_20251209234851_cfef5da9198c.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Kit com 2 Pincéis de Detalhamento Nº 14 Vonixx","17,80","16","91","Quantidade","[object Object]","Comprar","g.actions['product-1226926799'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-1226926799 .product__buy',
							data: {
								variants: [],
								product_id: 6736,
								product_random_id: 1226926799,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/flanelas-e-toalhas-kits/kit-com-10-flanelas-de-microfibra-laranja-300-gsm-detailer-38cm-x-38cm-ref-3429","https://images.tcdn.com.br/img/img_prod/1152560/180_kit_com_10_flanelas_de_microfibra_laranja_300_gsm_1_20251209232918_e0624698d895.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Kit com 10 Flanelas de Microfibra Laranja 300 GSM - Detailer (38cm x 38cm) Ref. 3429","72,90","69","26","Quantidade","[object Object]","Comprar","g.actions['product-1219940333'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-1219940333 .product__buy',
							data: {
								variants: [],
								product_id: 6734,
								product_random_id: 1219940333,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/flanelas-e-toalhas-kits/kit-com-10-flanelas-de-microfibra-azul-escuro-330-gsm-detailer-57cm-x-37cm-ref-4251","https://images.tcdn.com.br/img/img_prod/1152560/180_kit_com_10_flanelas_de_microfibra_azul_escuro_330_1_20251209232635_4cf67b46c8af.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Kit com 10 Flanelas de Microfibra AZUL ESCURO 330 GSM - Detailer (57cm x 37cm) Ref. 4251","97,90","93","01","Quantidade","[object Object]","Comprar","g.actions['product-257019147'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-257019147 .product__buy',
							data: {
								variants: [],
								product_id: 6732,
								product_random_id: 257019147,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/flanelas-e-toalhas-kits/kit-com-10-flanelas-de-microfibra-vermelha-330-gsm-detailer-57cm-x-37cm-ref-4250","https://images.tcdn.com.br/img/img_prod/1152560/180_kit_com_10_flanelas_de_microfibra_vermelha_330_gsm_1_20251209232424_48f853da2f48.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Kit com 10 Flanelas de Microfibra VERMELHA 330 GSM - Detailer (57cm x 37cm) Ref. 4250","93,90","89","21","Quantidade","[object Object]","Comprar","g.actions['product-518859842'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-518859842 .product__buy',
							data: {
								variants: [],
								product_id: 6730,
								product_random_id: 518859842,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/flanelas-e-toalhas-kits/kit-com-10-flanelas-de-microfibra-roxa-330-gsm-detailer-57cm-x-37cm-ref-4249","https://images.tcdn.com.br/img/img_prod/1152560/180_kit_com_10_flanelas_de_microfibra_roxa_330_gsm_d_1_20251209232139_eff986bd6907.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Kit com 10 Flanelas de Microfibra ROXA 330 GSM - Detailer (57cm x 37cm) Ref. 4249","96,90","92","06","Quantidade","[object Object]","Comprar","g.actions['product-700512205'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-700512205 .product__buy',
							data: {
								variants: [],
								product_id: 6728,
								product_random_id: 700512205,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/boinas/boina-de-polimento-em-cone-azul-claro-lustro-vonixx","https://images.tcdn.com.br/img/img_prod/1152560/180_boina_de_polimento_em_cone_azul_claro_lustro_vonix_1_20251208233600_e96e01ad486f.jpg","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Boina de Polimento em Cone Azul Claro Lustro Vonixx","25,90","24","61","Quantidade","[object Object]","Comprar","g.actions['product-1933228099'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-1933228099 .product__buy',
							data: {
								variants: [],
								product_id: 6722,
								product_random_id: 1933228099,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/boinas/boina-de-polimento-em-cone-amarelo-refino-vonixx","https://images.tcdn.com.br/files/1152560/themes/168/img/loading.gif?705da55cfff15ee26ab231e3b10af0ff","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Boina de Polimento em Cone Amarelo Refino Vonixx","25,90","24","61","Quantidade","[object Object]","Comprar","g.actions['product-1877685561'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-1877685561 .product__buy',
							data: {
								variants: [],
								product_id: 6720,
								product_random_id: 1877685561,
								is_https: settings.is_https
							}
						})
					})
				};"
"https://www.polibox.com.br/boinas/boina-de-polimento-em-cone-azul-escuro-corte-vonixx","https://images.tcdn.com.br/files/1152560/themes/168/img/loading.gif?705da55cfff15ee26ab231e3b10af0ff","0","0","https://www.polibox.com.br/lavagem#comentario_cliente","Boina de Polimento em Cone Azul Escuro Corte Vonixx","25,90","24","61","Quantidade","[object Object]","Comprar","g.actions['product-1489021668'] = function () {
					jQuery(window).on('load', function () {
						new Vue({
							el: '#product-1489021668 .product__buy',
							data: {
								variants: [],
								product_id: 6718,
								product_random_id: 1489021668,
								is_https: settings.is_https
							}
						})
					})
				};"
